bin_index,lo,hi,D_upper_ball,D_upper_float,proved,nodes,ambiguous_cells,positive_cells,negative_cells,speed_roots,rhs_adjusted,M2
80,-0.018750000000000003,-0.015625,[2.61906002091771422571444278656152570956696505 +/- 6.47e-45],2.6190600209177144,True,6485,156,1580,1553,46,36,[192.409686368413769001397353714 +/- 6.99e-30]
81,-0.015625,-0.0125,[2.62162319809707538317382238716773850149092876 +/- 4.09e-45],2.6216231980970752,True,7671,208,1802,1872,46,37,[216.717288245228061696958374500 +/- 3.33e-28]
82,-0.0125,-0.009375000000000001,[2.62401814691771887458337690103544764531989580 +/- 6.27e-45],2.624018146917719,True,9793,425,2387,2127,42,34,[225.402033648469177370535366852 +/- 1.53e-28]
83,-0.009375000000000001,-0.00625,[2.62601064888933521026509729538131996401086825 +/- 5.66e-45],2.626010648889335,True,7943,242,1818,1956,44,34,[197.749871908039492291930445649 +/- 4.35e-28]
84,-0.00625,-0.003125,[2.62733646042028178135353101064493939229163193 +/- 5.52e-45],2.6273364604202816,True,5989,109,1473,1457,44,34,[170.444018102310267349526486578 +/- 3.25e-28]
87,0.003125,0.00625,[2.62733646042028178150037621985384080430411131 +/- 3.22e-45],2.6273364604202816,True,5989,109,1473,1457,44,34,[170.444018102310267349526486578 +/- 3.25e-28]
88,0.00625,0.009375000000000001,[2.62601064888933521086825888040544620659801517 +/- 5.15e-45],2.626010648889335,True,7943,242,1818,1956,44,34,[197.749871908039492291930445649 +/- 4.35e-28]
89,0.009375000000000001,0.0125,[2.62401814691771887940082965264102526353281892 +/- 5.24e-45],2.624018146917719,True,9793,425,2387,2127,42,34,[225.402033648469177370535366852 +/- 1.53e-28]
90,0.0125,0.015625,[2.62162319809707538163934262592051546810152619 +/- 3.80e-45],2.6216231980970752,True,7671,208,1802,1872,46,37,[216.717288245228061696958374500 +/- 3.33e-28]
91,0.015625,0.018750000000000003,[2.61906002091771422603145874285302474179844410 +/- 5.17e-45],2.6190600209177144,True,6485,156,1580,1553,46,36,[192.409686368413769001397353714 +/- 6.99e-30]
92,0.018750000000000003,0.021875000000000002,[2.61637189911389957466476075582760775619495908 +/- 3.29e-45],2.6163718991139,True,6637,241,1615,1505,42,36,[211.155045618298897716219628865 +/- 2.52e-28]
