bin_index,lo,hi,D_upper_ball,D_upper_float,proved,nodes,ambiguous_cells,positive_cells,negative_cells,speed_roots,rhs_adjusted,M2
85,-0.003125,-0.0,[2.6277431148284664593981901833944985708023245 +/- 5.44e-44],2.6277431148284665,True,39639,17688,1596,736,200,342,[1602.03719676170778678053786600 +/- 1e-31]
86,0.0,0.003125,[2.6277431148284664593981901833944985708023245 +/- 5.44e-44],2.6277431148284665,True,39639,17688,1596,736,200,342,[1602.03719676170778678053786600 +/- 1e-31]
87,0.003125,0.00625,[2.62733646042028178173845208158496782340878717 +/- 6.92e-45],2.6273364604202816,True,5989,109,1473,1457,44,34,[170.444018102310267349526486578 +/- 3.25e-28]
88,0.00625,0.009375000000000001,[2.62601064888933521030966288149575607956733194 +/- 6.80e-45],2.626010648889335,True,7943,242,1818,1956,44,34,[197.749871908039492291930445649 +/- 4.35e-28]
