bin_index,lo,hi,D_upper_ball,D_upper_float,proved,nodes,ambiguous_cells,positive_cells,negative_cells,speed_roots,rhs_adjusted,M2
89,0.009375000000000001,0.0125,[2.62401814691771887268569273969237125963441773 +/- 2.93e-45],2.624018146917719,True,9793,425,2387,2127,42,34,[225.402033648469177370535366852 +/- 1.53e-28]
90,0.0125,0.015625,[2.62162319809707538249434719094543556886322317 +/- 6.31e-45],2.6216231980970752,True,7671,208,1802,1872,46,37,[216.717288245228061696958374500 +/- 3.33e-28]
91,0.015625,0.018750000000000003,[2.61906002091771422588546008457090560268270712 +/- 3.25e-45],2.6190600209177144,True,6485,156,1580,1553,46,36,[192.409686368413769001397353714 +/- 6.99e-30]
92,0.018750000000000003,0.021875000000000002,[2.61637189911389957498500508148373298283684549 +/- 2.68e-45],2.6163718991139,True,6637,241,1615,1505,42,36,[211.155045618298897716219628865 +/- 2.52e-28]
93,0.021875000000000002,0.025,[2.61332088101204386808145520900355490847268430 +/- 7.39e-45],2.613320881012044,True,8065,306,1944,1825,42,35,[225.014632579197366672143532069 +/- 2.12e-28]
94,0.025,0.03750000000000009,[2.627538530873375771654040843928987325849471441 +/- 9.20e-46],2.627538530873376,True,1625,44,389,402,22,20,[157.709203843257804774094089315 +/- 1.90e-28]
95,0.03750000000000009,0.050000000000000044,[2.623240239170892057207382970900254836627188925 +/- 8.91e-46],2.623240239170892,True,1149,44,275,278,22,21,[198.304027986143056841551596779 +/- 4.93e-28]
96,0.050000000000000044,0.0625,[2.615227624937015564397370399592667013052535662 +/- 9.01e-46],2.6152276249370154,True,1311,44,316,318,22,20,[308.196847215880574395436216163 +/- 2.05e-28]
97,0.0625,0.07499999999999996,[2.602926208010679783721245161976608509218418277 +/- 6.78e-46],2.60292620801068,True,1263,44,304,306,22,20,[298.936510024177431665939351210 +/- 4.40e-28]
98,0.07499999999999996,0.08750000000000013,[2.588933690287954461807498999371574568704867404 +/- 8.63e-46],2.5889336902879543,True,1253,40,297,310,20,19,[261.011153489403625517781948665 +/- 3.71e-29]
99,0.08750000000000013,0.10000000000000009,[2.57401945425267395369499695392225479287547477 +/- 6.07e-45],2.574019454252674,True,1767,44,417,445,22,19,[266.342450888681481675835364845 +/- 2.84e-28]
100,0.10000000000000009,0.11250000000000004,[2.55927254642443290396221978488302487704089614 +/- 3.60e-45],2.559272546424433,True,1463,44,346,364,22,19,[269.486369888840257006690424974 +/- 1.12e-28]
101,0.11250000000000004,0.125,[2.54448393821080506569293266946736911917718846 +/- 4.21e-45],2.544483938210805,True,1397,44,333,344,22,20,[277.725684303841145925673083195 +/- 4.05e-28]
102,0.125,0.13749999999999996,[2.52974126422389945835192260559734360435415241 +/- 2.97e-45],2.5297412642238997,True,1503,44,358,372,22,20,[272.537486948099649861017601695 +/- 2.08e-28]
103,0.13749999999999996,0.15000000000000013,[2.51532080073424105331209384874381194259843527 +/- 3.02e-45],2.515320800734241,True,1465,44,347,364,22,20,[271.569686544503359928140707960 +/- 4.27e-28]
104,0.15000000000000013,0.1625000000000001,[2.50130909468001619121851792449783959754625498 +/- 1.46e-45],2.5013090946800163,True,1445,44,340,361,22,20,[270.628754021501569231043972898 +/- 1.02e-28]
105,0.1625000000000001,0.17500000000000004,[2.48761458694990434340653624265416892017114477 +/- 5.13e-45],2.4876145869499044,True,2469,52,565,642,24,21,[277.783073306620053848119727415 +/- 4.94e-28]
106,0.17500000000000004,0.1875,[2.47422943662522517831724722598994993222482377 +/- 3.50e-45],2.474229436625225,True,2021,48,461,526,24,21,[282.304638153035570115234208036 +/- 2.02e-28]
