bin_index,lo,hi,D_upper_ball,D_upper_float,proved,nodes,ambiguous_cells,positive_cells,negative_cells,speed_roots,rhs_adjusted,M2
0,-1.0,-0.9875,[1.443896838896854957572634883292691053413083898 +/- 5.52e-46],1.443896838896855,True,1203,44,349,229,20,16,[1588.33224894235174713841683818 +/- 2.09e-27]
1,-0.9875,-0.975,[1.488771418615306357466629705109433424916911568 +/- 5.27e-46],1.4887714186153063,True,1143,40,333,219,20,15,[1320.54377562593366343501804216 +/- 3.32e-27]
2,-0.975,-0.9625,[1.529361813601161036649269941515006287935519476 +/- 3.21e-46],1.529361813601161,True,963,40,286,176,20,14,[1269.38663972981680737627639647 +/- 3.65e-28]
3,-0.9625,-0.95,[1.571117269794520603925056056683457225372868469 +/- 1.01e-46],1.5711172697945206,True,535,28,149,105,14,14,[584.819275974003548974410525825 +/- 2.95e-28]
4,-0.95,-0.9375,[1.611273442020768721949382946222467500655486397 +/- 5.34e-46],1.6112734420207688,True,623,28,189,109,14,12,[442.019131065730983720982702921 +/- 5.10e-29]
5,-0.9375,-0.925,[1.6497238813803975671805423032322507605303455687 +/- 4.66e-47],1.6497238813803976,True,729,44,162,173,14,12,[612.096136144421328650134511123 +/- 2.08e-28]
6,-0.925,-0.9125,[1.6865925986428230214462024878215860591400337732 +/- 9.71e-47],1.686592598642823,True,1041,59,313,161,12,10,[906.493778915664921623627572194 +/- 3.87e-28]
7,-0.9125,-0.9,[1.725371111692066191194221880697474460128475299 +/- 3.08e-46],1.7253711116920663,True,1095,75,334,155,16,12,[777.026211597437450216613162226 +/- 1.15e-28]
8,-0.9,-0.8875,[1.766273067213346346969155391621824270222075295 +/- 4.20e-46],1.7662730672133464,True,993,62,308,140,14,11,[780.075874641981234614010507261 +/- 2.91e-28]
9,-0.8875,-0.875,[1.8093978941405239318519558178390127165793079249 +/- 7.65e-47],1.809397894140524,True,1009,86,285,148,14,12,[217.927507238687698715892564674 +/- 1.25e-28]
10,-0.875,-0.8625,[1.847062238885743479000385166358491048139947893 +/- 4.56e-46],1.8470622388857434,True,1095,186,274,104,16,12,[476.462872347299058972310509611 +/- 4.77e-28]
11,-0.8625,-0.85,[1.876665460453797527968802128114746011405729190 +/- 4.26e-46],1.8766654604537976,True,501,28,122,115,14,12,[316.580868518304434026710163807 +/- 6.0e-31]
12,-0.85,-0.8375,[1.906345598420339417150768746441165884773368385 +/- 3.71e-46],1.9063455984203395,True,846,87,186,166,16,12,[357.067071932061603965896911957 +/- 2.73e-28]
13,-0.8375,-0.825,[1.936252450854507753335599784320244381207454385 +/- 3.16e-46],1.9362524508545078,True,845,99,181,159,16,12,[417.371086881607245843184459733 +/- 3.49e-28]
14,-0.825,-0.8125,[1.966527899411370986515461338647728222930541437 +/- 5.81e-46],1.966527899411371,True,649,37,194,110,16,12,[273.222230020717055235105041347 +/- 3.63e-28]
15,-0.8125,-0.8,[1.996544507589275048646185016261134641266371769 +/- 4.99e-46],1.9965445075892752,True,1451,55,427,264,20,14,[1012.13333126476184937298113245 +/- 3.06e-28]
16,-0.8,-0.7875,[2.005659231627480746138080179032982264311316573 +/- 4.19e-46],2.005659231627481,True,1555,50,249,504,25,22,[165.991659694012422699040688260 +/- 1.73e-29]
17,-0.7875,-0.775,[2.012179434945770303548392129580531276789865302 +/- 5.05e-46],2.0121794349457702,True,1393,50,227,445,25,22,[181.574872532474812967263177574 +/- 3.48e-28]
18,-0.775,-0.7625,[2.018832241977968226333509809957224627078581168 +/- 4.67e-46],2.018832241977968,True,1363,50,225,432,25,23,[187.477195651354179776228641852 +/- 4.38e-29]
19,-0.7625,-0.75,[2.025618103205056679917272379810703224343875906 +/- 4.06e-46],2.0256181032050566,True,1295,50,216,407,25,23,[191.725960650300835154076488700 +/- 4.93e-28]
20,-0.75,-0.7375,[2.032464279066356328367756713539737872686819239 +/- 4.84e-46],2.0324642790663563,True,1307,50,220,409,25,23,[191.792794876797869665628791906 +/- 2.72e-28]
21,-0.7375,-0.725,[2.038950352823904455285117365139650568560522796 +/- 5.15e-46],2.0389503528239046,True,1327,50,226,413,25,22,[189.634106399310666091142524053 +/- 4.95e-28]
22,-0.725,-0.7124999999999999,[2.045387331291130966610874592212115104207658676 +/- 5.41e-46],2.045387331291131,True,1335,50,231,412,25,22,[184.125936332261389636960858137 +/- 2.76e-28]
23,-0.7124999999999999,-0.7,[2.051977827807093030301770535575575264858470085 +/- 3.19e-46],2.051977827807093,True,1323,50,232,405,25,22,[180.731606429218948927166716054 +/- 2.56e-28]
24,-0.7,-0.6875,[2.058726767489488853479441961495101850926608521 +/- 5.26e-46],2.058726767489489,True,1331,50,231,410,25,22,[178.647495844863361343369435403 +/- 3.04e-28]
25,-0.6875,-0.675,[2.065640000389089944199871752085597054825666724 +/- 7.08e-46],2.06564000038909,True,1345,50,228,420,25,22,[176.947809201885359624324522581 +/- 3.88e-28]
